Environment,Block,Type,Plot_no,Genotype,Trait1,Trait2
loc3,3,test,97,geno101,93.5,9.9
loc3,3,test,98,geno102,94.875,18.15
loc3,3,test,99,geno107,118.36,12.98
loc3,3,test,100,geno109,92.84,14.025
loc3,3,test,101,geno111,88,17.6
loc3,3,test,102,geno114,95.425,15.4
loc3,3,test,103,geno117,86.9,10.725
loc3,3,check,104,check1,83.325,15.84
loc3,3,check,105,check2,75.9,10.12
loc3,3,check,106,check3,92.4,13.475
loc3,3,check,107,check4,93.5,14.08
loc3,3,check,108,check5,95.7,15.95
loc3,4,test,109,geno121,94.16,9.35
loc3,4,test,110,geno123,83.05,12.76
loc3,4,test,111,geno125,85.58,13.64
loc3,4,test,112,geno126,83.38,9.46
loc3,4,test,113,geno128,94.23333334,11.44
loc3,4,test,114,geno132,106.48,13.75
loc3,4,test,115,geno133,77.22,13.2
loc3,4,test,116,geno137,82.28,13.42
loc3,4,test,117,geno138,106.48,13.75
loc3,4,test,118,geno139,109.34,9.075
loc3,4,test,119,geno141,100.65,14.3
loc3,4,test,120,geno142,112.86,11.825
loc3,4,test,121,geno145,112.86,8.36
loc3,4,test,122,geno146,103.4,11.44
loc3,4,test,123,geno148,101.42,13.2
loc3,4,test,124,geno149,94.16,12.65
loc3,4,test,125,geno152,112.2,13.42
loc3,4,test,126,geno156,117.425,11.44
loc3,4,test,127,geno158,116.6,12.32
loc3,4,test,128,geno159,104.5,10.56
loc3,4,test,129,geno161,108.9,9.9
loc3,4,test,130,geno162,118.8,16.86666666
loc3,4,test,131,geno163,108.02,8.14
loc3,4,test,132,geno164,84.7,16.94
loc3,4,test,133,geno166,114.84,12.925
loc3,4,test,134,geno168,107.8,11
loc3,4,test,135,geno169,121.44,9.46
loc3,4,test,136,geno173,99.22,11.825
loc3,4,test,137,geno174,97.24,16.13333334
loc3,4,test,138,geno176,84.48,12.83333334
loc3,4,test,139,geno181,101.42,11
loc3,4,check,140,check1,81.18,15.62
loc3,4,check,141,check2,77,10.26666667
loc3,4,check,142,check3,92.62,11
loc3,4,check,143,check4,89.1,11.44
loc3,4,check,144,check5,96.36,17.05
loc3,5,test,145,geno3,94.325,9.46
loc3,5,test,146,geno5,83.96666666,12.54
loc3,5,test,147,geno11,98.45,14.52
loc3,5,test,148,geno13,86.9,10.12
loc3,5,test,149,geno18,93.28,14.52
loc3,5,test,150,geno21,91.3,10.175
loc3,5,test,151,geno38,109.725,12.1
loc3,5,test,152,geno40,97.9,13.2
loc3,5,test,153,geno43,99.88,10.63333333
loc3,5,test,154,geno44,94.16,9.35
loc3,5,test,155,geno47,92.125,14.08
loc3,5,test,156,geno57,89.1,13.2
loc3,5,test,157,geno65,86.02,8.8
loc3,5,test,158,geno66,93.72,10.78
loc3,5,test,159,geno69,90.42,12.65
loc3,5,test,160,geno74,96.14,12.98
loc3,5,test,161,geno75,86.68,11.55
loc3,5,test,162,geno76,100.1,13.75
loc3,5,test,163,geno81,89.1,9.02
loc3,5,test,164,geno82,93.5,8.25
loc3,5,test,165,geno92,103.4,12.54
loc3,5,test,166,geno93,80.66666666,12.925
loc3,5,test,167,geno95,83.82,14.025
loc3,5,test,168,geno105,97.46,9.9
loc3,5,test,169,geno115,94.96666666,11.22
loc3,5,test,170,geno130,110.66,15.125
loc3,5,check,171,check1,80.3,18.7
loc3,5,check,172,check2,79.2,13.64
loc3,5,check,173,check3,91.3,10.78
loc3,5,check,174,check4,96.36,16.775
loc3,5,check,175,check5,100.54,17.05
loc3,6,test,176,geno119,89.54,11
loc3,6,test,177,geno120,99.22,13.2
loc3,6,test,178,geno122,93.94,10.56
loc3,6,test,179,geno124,121.66,8.8
loc3,6,test,180,geno127,78.76,9.9
loc3,6,test,181,geno129,83.16,18.04
loc3,6,test,182,geno131,116.38,14.3
loc3,6,test,183,geno134,77.88,10.78
loc3,6,test,184,geno135,80.08,12.375
loc3,6,test,185,geno136,73.425,11.66
loc3,6,test,186,geno140,96.8,11.73333334
loc3,6,test,187,geno143,129.14,14.85
loc3,6,test,188,geno144,101.64,12.65
loc3,6,test,189,geno147,98.56,11.88
loc3,6,test,190,geno150,124.85,14.575
loc3,6,test,191,geno151,108.9,12.375
loc3,6,test,192,geno153,115.28,12.375
loc3,6,test,193,geno154,111.4666666,13.2
loc3,6,test,194,geno155,120.56,12.32
loc3,6,test,195,geno157,113.08,10.12
loc3,6,test,196,geno160,114.18,11
loc3,6,test,197,geno165,78.98,13.475
loc3,6,test,198,geno167,110.22,10.56
loc3,6,test,199,geno170,116.38,13.2
loc3,6,test,200,geno171,122.76,10.45
loc3,6,test,201,geno172,100.76,14.3
loc3,6,test,202,geno175,113.74,13.42
loc3,6,test,203,geno177,106.92,12.1
loc3,6,test,204,geno178,107.14,12.65
loc3,6,test,205,geno179,112.64,14.08
