Pedigree,LOC,Trait
Genoy38,loc2,84.71064131
Genoy38,LOC3,83.78287025
Genoy38,LOC4,84.38068808
Genoy39,loc1,84.1377927
Genoy39,loc2,84.78139728
Genoy39,LOC3,83.42667163
Genoy39,LOC4,86.78284341
Genoy4,loc1,78.71058979
Genoy4,loc2,78.45361288
Genoy4,LOC3,77.57263816
Genoy4,LOC4,78.46500772
Genoy42,loc1,76.84600557
Genoy42,loc2,76.02940145
Genoy42,LOC3,71.96004561
Genoy42,LOC4,76.58344463
Genoy43,loc1,66.97982466
Genoy43,loc2,67.71955018
Genoy43,LOC3,73.7664242
Genoy43,LOC4,73.92918349
Genoy45,loc1,73.07582086
Genoy45,loc2,73.8651093
Genoy45,LOC3,74.64530957
Genoy45,LOC4,73.5261803
Genoy47,loc1,81.87621309
Genoy47,loc2,81.67147709
Genoy47,LOC3,83.41610295
Genoy47,LOC4,81.36640615
Genoy52,loc1,82.18475959
Genoy52,loc2,81.65010372
Genoy52,LOC3,83.07897795
Genoy52,LOC4,82.09628492
Genoy60,loc1,79.87530174
Genoy60,loc2,80.46951574
Genoy60,LOC3,79.62615385
Genoy60,LOC4,80.00782416
Genoy62,loc1,79.39279246
Genoy62,loc2,78.54247471
Genoy62,LOC3,78.33050192
Genoy62,LOC4,79.495616
Genoy67,loc1,79.44095111
Genoy67,loc2,80.36728077
Genoy67,LOC3,79.56033157
Genoy67,LOC4,80.43278934
Genoy7,loc1,64.33608839
Genoy7,loc2,64.18363399
Genoy7,LOC3,66.0483856
Genoy7,LOC4,65.29674241
Genoy70,loc1,79.05147891
Genoy70,loc2,78.97795897
Genoy70,LOC3,79.36740967
Genoy70,LOC4,79.67880074
Genoy74,loc1,79.51698848
Genoy74,loc2,77.52369031
Genoy74,LOC3,78.94448942
Genoy74,LOC4,78.73672161
Genoy77,loc1,78.89072045
Genoy77,loc2,78.12719645
Genoy77,LOC3,79.66130002
Genoy77,LOC4,79.79828578
Genoy78,loc1,79.48325154
Genoy78,loc2,78.96882311
Genoy78,LOC3,78.97252468
Genoy78,LOC4,79.96089533
Genoy8,loc1,80.06048333
Genoy8,loc2,78.11590321
Genoy8,LOC3,78.62908536
Genoy8,LOC4,77.47279922
Genoy80,loc1,82.01613507
Genoy80,loc2,80.55537336
Genoy80,LOC3,80.66369114
Genoy80,LOC4,81.96209341
Genoy82,loc1,80.53293178
Genoy82,loc2,79.55536753
Genoy82,LOC3,80.12245686
Genoy82,LOC4,80.5037734
Genoy86,loc1,81.25105381
Genoy86,loc2,79.39423204
Genoy86,LOC3,80.37260142
Genoy86,LOC4,80.54786291
Genoy87,loc1,81.50086385
Genoy87,loc2,80.5873127
Genoy87,LOC3,82.30046215
Genoy87,LOC4,80.47756163
Genoy92,loc1,80.43453064
Genoy92,loc2,80.78745043
Genoy92,LOC3,81.87566155
Genoy92,LOC4,80.25541102
Genoy96,loc1,83.24193643
Genoy96,loc2,81.22083089
Genoy96,LOC3,82.71444803
Genoy96,LOC4,83.41980163
tester1,loc1,76.28444983
tester1,loc2,75.23599194
tester1,LOC3,75.6970129
tester1,LOC4,78.22328208
Tester3,loc1,58.29574933
Tester3,loc2,58.21455959
Tester3,LOC3,61.56261675
Tester3,LOC4,60.57904253
PB1509,loc1,82.71312378
PB1509,loc2,82.4483833
PB1509,LOC3,85.17826432
PB1509,LOC4,82.57053308
PRR78,loc1,77.13905126
PRR78,loc2,76.41801213
PRR78,LOC3,80.02328415
PRR78,LOC4,77.20589207
